tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32
1,1,62298.3146,0,0,0,0,0,0,0,0,1.94553613e-05,1.85178433e-05,1.99773476e-05,2.28864064e-05,1.8097664e-05,3.80891797e-05,4.10457069e-05,3.59988699e-05,2.01490348e-05,1.15207367e-05,1.15857702e-05,1.73943154e-05,9.2872142e-06,2.69233478e-05,1.11751206e-05,1.22304482e-05,1.58092844e-05,3.39124708e-05,1.61655171e-05,1.97688205e-05,1.85173103e-05,2.99170188e-05,1.06102643e-05,1.37386642e-05,8.91640229e-06,1.56414771e-05,1.4324185e-05,1.92572843e-05,1.13843025e-05,1.01141968e-05,1.3993038e-05,1.3404836e-05
2,2,62307.9496,0,0,0,0,0,0,0,0,4.96539105e-05,6.27988702e-05,9.51050024e-05,6.77109128e-05,9.08828952e-05,8.57472696e-05,3.38821992e-05,0.000105816405,6.47114502e-05,6.50910952e-05,6.64317777e-05,7.49450264e-05,5.92484539e-05,8.4670166e-05,3.09452917e-05,7.3361618e-05,7.70157058e-05,9.4569652e-05,8.70185759e-05,7.67897145e-05,8.33778176e-05,0.000104433086,9.55193391e-05,6.61410231e-05,6.45505716e-05,7.12996625e-05,1.16272759e-05,7.73235806e-05,6.80241646e-05,6.50955117e-05,5.31523328e-05,6.85469568e-05
3,3,62317.0948,0,0,0,0,0,0,0,0,6.31768926e-05,5.24556126e-05,8.48899363e-05,6.7756846e-05,6.60428195e-05,7.80863775e-05,0.000190844803,6.06914437e-05,5.65643204e-05,6.18117992e-05,4.38821662e-05,5.06547549e-05,5.4507851e-05,2.15601631e-05,7.65356381e-05,2.96458147e-05,6.80084486e-05,6.51466107e-05,8.22363727e-05,5.4569864e-05,5.96740028e-05,8.3466497e-05,9.04537374e-05,5.4104763e-05,3.5581128e-05,4.8761678e-05,9.19846061e-05,5.59970504e-05,3.05249887e-05,4.97961519e-05,5.31264304e-05,4.00593781e-05
4,4,62327.3882,0,0,0,0,0,0,0,0,1.57708964e-05,2.98495925e-05,6.19165367e-05,5.71189048e-05,5.85620619e-05,5.62967107e-05,7.9430305e-05,8.06459138e-05,6.11986834e-05,3.90878777e-05,5.28845812e-05,4.40067488e-05,5.34708743e-05,3.57565295e-05,5.95804959e-05,5.48667376e-05,6.42744344e-05,7.0975686e-05,7.8184843e-05,5.79877778e-05,4.88746482e-05,5.92378601e-05,5.082793e-05,3.45325461e-05,3.62162682e-05,5.57191161e-05,4.2858057e-05,6.96592906e-05,5.09717611e-05,6.60707883e-05,4.57537571e-05,4.63451688e-05
5,5,62338.0685,0,0,0,0,0,0,0,0,8.93578817e-06,2.60746947e-05,8.49299613e-05,6.09092895e-05,8.05125092e-05,0.000122496713,3.35494333e-05,0.000135296636,7.66560188e-05,5.43473288e-05,5.25856303e-05,5.2002375e-05,5.15640386e-05,4.19086136e-05,4.49589425e-05,5.83465589e-05,5.24779789e-05,0.000116531461,9.42192128e-05,9.41340259e-05,4.63226024e-05,0.000115348557,6.27794579e-05,3.28996539e-05,3.08278177e-05,5.68000942e-05,1.7540875e-05,9.87117601e-05,5.84418594e-05,5.48835342e-05,4.92129875e-05,6.3422558e-05
6,6,62347.5803,0,0,0,0,0,0,0,0,1.75765654e-05,1.30845128e-05,1.79404287e-05,3.41992491e-05,1.79869021e-05,4.83930562e-05,4.62589815e-05,5.95242309e-05,2.92780405e-05,2.12777013e-05,1.79261806e-05,2.1079406e-05,1.98319667e-05,2.45013744e-05,1.9993362e-05,2.72381985e-05,2.20946367e-05,4.63442047e-05,4.84768389e-05,3.43681822e-05,1.15108205e-05,2.94327438e-05,3.97125477e-05,1.93652995e-05,2.60794277e-05,1.87757596e-05,2.71127374e-05,3.93056871e-05,2.5164687e-05,1.62034103e-05,1.79717626e-05,2.51855636e-05
7,7,62357.0769,0,0,0,0,0,0,0,0,4.8651902e-05,2.92690711e-05,7.25443097e-05,1.51480017e-05,0.000104179257,7.36040383e-05,4.34244357e-05,9.35490607e-05,8.0968297e-05,7.38870367e-05,6.46413828e-05,6.39406644e-05,5.90771306e-05,0.000112251335,1.14281338e-05,9.82468555e-05,4.01201469e-05,9.64656865e-05,2.95765949e-05,0.000106439125,5.67118004e-05,9.18877122e-05,1.67002127e-05,6.89074077e-05,8.96358906e-05,6.96736024e-05,3.28009482e-05,8.0283382e-05,8.8056433e-05,6.18980412e-05,5.27105622e-05,7.38900635e-05
8,8,62368.0952,0,0,0,0,0,0,0,0,3.78168334e-05,3.70380258e-05,7.66772428e-05,1.62182751e-05,9.02273605e-05,0.00010118611,1.22370484e-05,0.000134680697,7.97841058e-05,8.18727494e-05,7.09453234e-05,6.89267181e-05,6.55013209e-05,0.000121241668,1.46247075e-05,0.000116847594,4.29811589e-05,0.000118037373,3.8115475e-05,9.38919547e-05,5.80019077e-05,0.000118088763,6.41555653e-06,5.64567563e-05,0.000103170561,6.91118912e-05,4.88722399e-05,8.82444365e-05,0.000102708931,7.22421537e-05,5.99088962e-05,7.83904397e-05
9,9,62377.1281,0,0,0,0,0,0,0,0,6.55471304e-05,7.34798305e-05,0.000129192282,7.29325984e-05,0.000132055095,0.000147194107,0.000117149291,0.000211141334,0.000128917294,0.000119679193,0.000116281401,0.000109617395,0.000101983438,0.0001532077,4.01430225e-05,0.00014504233,8.26970936e-05,0.0001782974,9.12010728e-05,0.000145562342,9.69094108e-05,0.000165547535,3.64386906e-05,8.35480023e-05,0.000125213846,0.000125905834,2.57034135e-05,0.0001442793,0.000131539447,0.000113838309,9.44042185e-05,0.000121268189
10,10,62387.2551,0,0,0,0,0,0,0,0,8.65003312e-05,9.64034989e-05,0.000179047362,0.000111561356,0.00017154128,0.000182745309,0.000175581925,0.000236420281,0.000168426443,0.000151957356,0.000152249762,0.000141208933,0.000138267875,0.000188976221,7.81065464e-05,0.000197401576,0.000122328129,0.000215319436,0.00013808455,0.000177231981,0.000132145928,0.000205806573,6.29494025e-05,0.000113610207,0.000161142452,0.000163119956,8.32915794e-06,0.00018172375,0.000176418864,0.000148250037,0.000125268052,0.0001575723
11,11,62396.7569,0,0,0,0,0,0,0,0,8.95753255e-05,8.88636205e-05,0.000160160736,0.000103750928,0.000154379246,0.000159896139,5.84098925e-05,0.000209877224,0.000155625123,0.000139780357,0.000134505724,0.000129504799,0.000118355703,0.000156323498,5.94076628e-05,0.000157834773,0.000117093805,0.000197332512,0.000129748034,0.000167481368,0.0001227334,0.000188998194,5.30006837e-05,0.000106359781,0.00012959473,0.000145465892,1.18092112e-05,0.000171377003,0.000144835882,0.000128549393,0.000109843153,0.000142903897
12,12,62406.2712,0,0,0,0,0,0,0,0,6.02783875e-05,6.7605295e-05,0.000120876932,7.66825979e-05,0.000111568173,0.00010422137,2.41473226e-05,0.000163335237,0.000125503691,0.000106697407,0.000111350804,0.000102629201,0.000102324128,0.000120597222,5.35275358e-05,0.000118852557,8.52255907e-05,0.000155963877,8.41597139e-05,0.000125409177,9.19385129e-05,0.00014125809,1.79459112e-05,8.22744914e-05,0.000100522724,0.000118371987,9.19902959e-06,0.000142307224,0.000113365692,0.000111673296,8.42293157e-05,0.000114614821
13,13,62416.3873,0,0,0,0,0,0,0,0,8.35839382e-05,8.05205564e-05,0.000132729387,8.67286435e-05,0.000108990716,0.000111628491,1.14210297e-05,0.000156055234,0.00012079053,0.000105914296,0.000125062244,0.000113041184,0.000115971307,0.000128883388,8.63985624e-05,0.000130665503,0.000100458819,0.000155285481,0.000102566773,0.000128406245,0.000104074919,0.000138818272,4.58891191e-05,9.37590157e-05,0.000112560221,0.000126893603,3.31959018e-05,0.00013468448,0.000125710998,0.000122168596,9.92985733e-05,0.000117864722
14,14,62425.8754,0,0,0,0,0,0,0,0,9.01708336e-05,8.11700957e-05,0.000132339163,9.11765601e-05,0.000118005468,0.000116255818,0.000140145785,0.0001307762,0.000109730194,9.05967754e-05,0.000107845961,0.000106666084,0.00010661687,0.000108460496,8.44457682e-05,0.000119194563,0.000108139371,0.000135928174,0.000119676035,0.000111598383,0.000113423477,0.000139890471,8.12135695e-05,0.000101619007,9.65455256e-05,0.000126927669,4.35055335e-05,0.00011493171,0.000105494917,0.0001075443,9.18776423e-05,0.000105965977
15,15,62435.9085,0,0,0,0,0,0,0,0,8.87791175e-05,8.30958452e-05,0.000118370139,8.90280062e-05,0.00011028166,0.000101622398,0.000216773944,0.000110061446,0.000106779138,8.71442899e-05,9.46071232e-05,0.000101889629,9.64941937e-05,8.84993788e-05,8.6576918e-05,0.000102113961,0.000101582569,0.000124398532,0.000107361644,0.000112503578,0.000109763176,0.000121533019,8.53610181e-05,0.000103894577,8.41046785e-05,0.000112167276,4.59901457e-05,0.000110824505,9.03523614e-05,9.190524e-05,8.78245919e-05,9.97776806e-05
16,16,62446.4436,0,0,0,0,0,0,0,0,3.28344504e-05,2.07659396e-05,2.79634314e-05,2.32560415e-05,2.14899228e-05,2.35149018e-05,0.000219979062,2.11796196e-05,3.05897011e-05,2.12428167e-05,2.07537469e-05,2.55200102e-05,2.47373318e-05,2.10917224e-05,1.97183326e-05,2.36877386e-05,2.88246738e-05,3.02510816e-05,3.13872079e-05,3.19793107e-05,2.93140838e-05,2.39429464e-05,2.23964144e-05,2.87915227e-05,2.63431793e-05,2.8363178e-05,2.32923339e-05,3.20637082e-05,2.57579704e-05,2.40442132e-05,2.04518547e-05,2.63978145e-05
17,17,62456.5136,0,0,0,0,0,0,0,0,2.2823293e-05,1.51462964e-05,2.57245429e-05,1.60176642e-05,4.09237109e-05,3.88793196e-05,0.000185485012,3.58846701e-05,2.74128997e-05,4.75159795e-05,2.41280231e-05,2.90684038e-05,2.57613628e-05,3.911155e-05,3.76636453e-05,4.28947678e-05,2.74602298e-05,2.59131684e-05,2.19594694e-05,3.66812419e-05,2.47572862e-05,3.09834359e-05,2.50248941e-05,2.72919278e-05,4.37573799e-05,2.88693627e-05,5.03503506e-05,2.56336134e-05,3.88652988e-05,2.22539602e-05,3.01441105e-05,2.4590383e-05
18,18,62465.9999,0,0,0,0,0,0,0,0,2.23068655e-05,1.27281492e-05,2.89255495e-05,1.44806299e-05,3.86092725e-05,3.87800974e-05,0.000129989217,4.79559894e-05,3.81546088e-05,5.50922741e-05,3.11922922e-05,3.46359702e-05,2.80997901e-05,4.23010024e-05,3.00056745e-05,3.594386e-05,1.47010178e-05,3.84073355e-05,1.51088925e-05,4.59867006e-05,2.21747141e-05,3.62450919e-05,1.37645711e-05,3.07251103e-05,3.54556287e-05,4.02437763e-05,2.28650151e-05,3.46912529e-05,3.78087461e-05,2.77452582e-05,3.08304479e-05,2.98214745e-05
